Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
DTL,HOSE,Công ty Cổ phần Đại Thiên Lộc,Dai Thien Loc Corporation,http://daithienloc.com.vn,http://daithienloc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DTL5,10600,Đang giao dịch
DTT,HOSE,Công ty Cổ phần Kỹ nghệ Đô Thành,Do Thanh Technology Corporation,http://dothanhtech.com,http://dothanhtech.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DTT8,15800,Đang giao dịch
DVP,HOSE,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment & Development Joint Stock Company,https://dinhvuport.com.vn,https://dinhvuport.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000DVP2,74000,Đang giao dịch
DXG,HOSE,Công ty Cổ phần Bluemarq Group,Bluemarq Group Joint Stock Company,https://datxanh.vn,https://datxanh.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000DXG7,11300,Đang giao dịch
DXS,HOSE,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dat Xanh Real Estate Services Joint Stock Company,https://datxanhservices.vn,https://datxanhservices.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000DXS2,5620,Đang giao dịch
DXV,HOSE,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Da Nang Construction Building Materials Vicem Joint Stock Company,http://coxiva.com.vn,http://coxiva.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000DXV6,3200,Đang giao dịch
EIB,HOSE,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,Vietnam Export Import Commercial Joint Stock Bank,https://eximbank.com.vn,https://eximbank.com.vn/quan-he-nha-dau-tu,Tài chính,Ngân hàng,VN000000EIB7,16750,Đang giao dịch
ELC,HOSE,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM Technology Communications Corporation,https://elcom.com.vn,https://elcom.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000ELC9,13700,Đang giao dịch
EVE,HOSE,Công ty Cổ phần Everpia,Everpia Joint Stock Company,https://everpia.vn,https://everpia.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000EVE4,8350,Đang giao dịch
EVF,HOSE,CÔNG TY TÀI CHÍNH TỔNG HỢP CỔ PHẦN ĐIỆN LỰC,EVF GENERAL FINANCE JOINT STOCK COMPANY,http://evnfc.vn,http://evnfc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000EVF1,11950,Đang giao dịch
EVG,HOSE,Công ty Cổ phần Tập đoàn Everland,Everland Group Joint Stock Company,https://everland.vn,https://everland.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000EVG9,4130,Đang giao dịch
FCM,HOSE,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Phan Vu Ha Nam Concrete Joint Stock Company,http://feconmining.com.vn,http://feconmining.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000FCM4,3030,Đang giao dịch
FCN,HOSE,CÔNG TY CỔ PHẦN TẬP ĐOÀN FECON,FECON CORPORATION,https://fecon.com.vn,https://fecon.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000FCN2,11250,Đang giao dịch
FDC,HOSE,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development and Investment Corporation of Ho Chi Minh City,https://fideco.com.vn,https://fideco.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000FDC3,21400,Đang giao dịch
FIR,HOSE,Công ty Cổ phần Địa ốc First Real,First Real Joint Stock Company,https://fir.vn,https://fir.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000FIR0,3500,Đang giao dịch
FIT,HOSE,Công ty Cổ phần Tập đoàn F.I.T,F.I.T Group Joint Stock Company,https://fitgroup.com.vn,https://fitgroup.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000FIT6,2910,Đang giao dịch
FMC,HOSE,Công ty Cổ phần Thực phẩm Sao Ta,Sao Ta Foods Joint Stock Company,https://fimexvn.com,https://fimexvn.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000FMC4,33400,Đang giao dịch
FPT,HOSE,Công ty Cổ phần FPT,FPT Corporation,https://fpt.com,https://fpt.com/vi/nha-dau-tu,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000FPT1,72400,Đang giao dịch
FRT,HOSE,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,FPT Digital Retail Joint Stock Company,https://fptretail.com.vn,https://fptretail.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000FRT7,140500,Đang giao dịch
FTS,HOSE,Công ty Cổ phần Chứng khoán FPT,FPT Securities Joint Stock Company,https://fpts.com.vn,https://fpts.com.vn/quan-he-nha-dau-tuHDBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000FTS5,21400,Đang giao dịch
GAS,HOSE,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PetroVietnam Gas Joint Stock Corporation,https://pvgas.com.vn,https://pvgas.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000GAS3,85700,Đang giao dịch
GDT,HOSE,Công ty Cổ phần Chế biến Gỗ Đức Thành,Duc Thanh Wood Processing Joint Stock Company,http://goducthanh.com,http://goducthanh.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000GDT5,15900,Đang giao dịch
GEE,HOSE,Công ty Cổ phần Điện lực Gelex,Gelex Electricity Joint Stock Company,https://gelex-electric.com,https://gelex-electric.com/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000GEE5,62900,Đang giao dịch
GEG,HOSE,Công ty Cổ phần Điện Gia Lai,Gia Lai Electricity Joint Stock Company,https://gecc.com.vn,https://gecc.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000GEG0,12700,Đang giao dịch
GEL,HOSE,Công ty Cổ phần Hạ tầng GELEX,GELEX INFRASTRUCTURE JOINT STOCK COMPANY,https://gelex-infra.vn,https://gelex-infra.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000GEL0,27500,Đang giao dịch
GEX,HOSE,Công ty Cổ phần Tập đoàn GELEX,GELEX Group Joint Stock Company,https://gelex.vn,https://gelex.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000GEX5,24600,Đang giao dịch
GHC,HOSE,Công ty Cổ phần Thủy điện Gia Lai,Gia Lai Hydropower Joint Stock Company,https://ghc.vn,https://ghc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000GHC2,24500,Đang giao dịch
GIL,HOSE,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Binh Thanh Import Export Production and Trade Joint Stock Company,http://gilimex.com,http://gilimex.com/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000GIL1,7550,Đang giao dịch
GMD,HOSE,CÔNG TY CỔ PHẦN TẬP ĐOÀN GEMADEPT,GEMADEPT GROUP CORPORATION,https://gemadept.com.vn,https://gemadept.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000GMD0,75600,Đang giao dịch
GMH,HOSE,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hung Quang Tri Joint Stock Company,https://minhhungqt.vn,https://minhhungqt.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000GMH1,6920,Đang giao dịch
GSP,HOSE,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,International Gas Product Shipping Joint Stock Company,https://gasshipping.com.vn,https://gasshipping.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000GSP1,9800,Đang giao dịch
GTA,HOSE,Công ty Cổ phần Chế biến Gỗ Thuận An,Thuan An Wood Processing Joint Stock Company,https://gothuanan.vn,https://gothuanan.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000GTA1,8990,Đang giao dịch
GVR,HOSE,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Viet Nam Rubber Group - Joint Stock Company,https://rubbergroup.vn,https://rubbergroup.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000GVR1,31850,Đang giao dịch
HAG,HOSE,Công ty Cổ phần Hoàng Anh Gia Lai,Hoang Anh Gia Lai Joint Stock Company,https://hagl.com.vn,https://hagl.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HAG6,13950,Đang giao dịch
HAH,HOSE,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Hai An Transport and Stevedoring Joint Stock Company,https://haianshipping.com,https://haianshipping.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000HAH4,46600,Đang giao dịch
HAP,HOSE,Công ty Cổ phần Tập đoàn HAPACO,Hapaco Group Joint Stock Company,http://hapaco.vn,http://hapaco.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HAP7,7430,Đang giao dịch
HAR,HOSE,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,An Duong Thao Dien Real Estate Trading Investment Joint Stock Company,https://adtdgroup.com,https://adtdgroup.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000HAR3,2520,Đang giao dịch
HAS,HOSE,Công ty Cổ phần HACISCO,HACISCO Joint Stock Company,https://has.vn,https://has.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HAS1,11300,Đang giao dịch
HAX,HOSE,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Hang Xanh Motors Service Joint Stock Company,http://haxaco.com.vn,http://haxaco.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000HAX1,8490,Đang giao dịch
HCD,HOSE,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD Investment Producing and Trading Joint Stock Company,https://hcdgroup.com.vn,https://hcdgroup.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000HCD9,6240,Đang giao dịch
HCM,HOSE,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Ho Chi Minh City Securities Corporation,https://hsc.com.vn,https://hsc.com.vn/quan-he-nha-dau-tuLPBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000HCM0,26350,Đang giao dịch
HDB,HOSE,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,https://hdbank.com.vn,https://ir.hdbank.com.vn,Tài chính,Ngân hàng,VN000000HDB1,27500,Đang giao dịch
HDC,HOSE,Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu,Ba Ria - Vung Tau House Development Joint Stock Company,https://hodeco.vn,https://hodeco.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000HDC9,11600,Đang giao dịch
HDG,HOSE,Công ty Cổ phần Tập đoàn Hà Đô,Ha Do Group Joint Stock Company,https://hado.com.vn,https://hado.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HDG0,16200,Đang giao dịch
HHP,HOSE,Công ty Cổ phần HHP Global,HHP Global Joint Stock Company,https://hhpglobaljsc.com,https://hhpglobaljsc.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HHP2,17200,Đang giao dịch
HHS,HOSE,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,http://hoanghuyhhs.vn,http://hoanghuyhhs.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000HHS6,10650,Đang giao dịch
HHV,HOSE,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Deo Ca Traffic Infrastructure Investment Joint Stock Company,https://deoca.vn,https://deoca.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HHV0,9880,Đang giao dịch
HID,HOSE,Công ty Cổ phần Halcom Việt Nam,Halcom VietNam Joint Stock Company,http://halcom.vn,http://halcom.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HID6,3800,Đang giao dịch
HII,HOSE,Công ty Cổ phần An Tiến Industries,An Tien Industries Joint Stock Company,https://antienindustries.com,https://antienindustries.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HII5,9900,Đang giao dịch
HMC,HOSE,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - Vnsteel,Vnsteel - Ho Chi Minh City Metal Corporation,https://metalhcm.com.vn,https://metalhcm.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HMC0,10800,Đang giao dịch
HNA,HOSE,Công ty Cổ phần Thủy điện Hủa Na,Hua Na Hydropower Joint Stock Company,http://huana.com.vn,http://huana.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000HNA2,21400,Đang giao dịch
HPA,HOSE,Công ty Cổ phần Phát triển Nông nghiệp Hòa Phát,HOA PHAT AGRICULTURE DEVELOPMENT JOINT STOCK COMPANY,https://nongnghiep.hoaphat.com.vn,https://nongnghiep.hoaphat.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HPA7,27700,Đang giao dịch
HPG,HOSE,Công ty Cổ phần Tập đoàn Hòa Phát,Hoa Phat Group Joint Stock Company,https://hoaphat.com.vn,https://hoaphat.com.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000HPG4,22050,Đang giao dịch
HPX,HOSE,Công ty Cổ phần Đầu tư Hải Phát,Hai Phat Investment Joint Stock Company,https://haiphat.com.vn,https://haiphat.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HPX9,4070,Đang giao dịch
HQC,HOSE,Công ty Cổ phần Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân,Hoang Quan Consulting - Trading - Service Real Estate Corporation,https://hoangquan.com.vn,https://hoangquan.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000HQC1,2010,Đang giao dịch
HRC,HOSE,Công ty Cổ phần Cao su Hòa Bình,Hoa Binh Rubber Joint Stock Company,http://horuco.com.vn,http://horuco.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000HRC9,31150,Đang giao dịch
HSG,HOSE,Công ty Cổ phần Tập đoàn Hoa Sen,HOA SEN GROUP (HSG),https://hoasengroup.vn,https://hoasengroup.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000HSG8,10600,Đang giao dịch
HSL,HOSE,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Hong Ha Food Investment Development Joint Stock Company,http://honghagroup.com.vn,http://honghagroup.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HSL8,9950,Đang giao dịch
HT1,HOSE,Công ty Cổ phần Xi măng VICEM Hà Tiên,VICEM Ha Tien Cement Joint Stock Company,https://hatien1.com.vn,https://hatien1.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HT12,12100,Đang giao dịch
HTG,HOSE,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hoa Tho Textile - Garment Joint Stock Corporation,http://hoatho.com.vn,http://hoatho.com.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000HTG6,34000,Đang giao dịch
HTI,HOSE,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,IDICO Infrastructure Development Investment Joint Stock Company,https://idico-idi.com.vn,https://idico-idi.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HTI2,18600,Đang giao dịch
HTL,HOSE,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Truong Long Engineering and Auto Joint Stock Company,https://truonglong.com,https://truonglong.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HTL6,21400,Đang giao dịch
HTN,HOSE,Công ty Cổ phần Hưng Thịnh Incons,Hung Thinh Incons Joint Stock Company,https://hungthinhincons.com.vn,https://hungthinhincons.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000HTN2,6470,Đang giao dịch
HTV,HOSE,Công ty Cổ phần Logistics Vicem,Logistics Vicem Joint Stock Company,https://vantaihatien.com.vn,https://vantaihatien.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000HTV5,12000,Đang giao dịch
HU1,HOSE,Công ty Cổ phần Đầu tư và Xây dựng HUD1,HUD1 Investment and Construction Joint Stock Company,http://hud1.com.vn,http://hud1.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HU19,5000,Đang giao dịch
HUB,HOSE,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Thua Thien Hue Construction Joint Stock Corporation,http://xaylaphue.com.vn,http://xaylaphue.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HUB5,11550,Đang giao dịch
HVH,HOSE,Công ty Cổ phần Đầu tư và Công nghệ HVC,HVC Investment and Technology Joint Stock Company,https://hvcgroup.net,https://hvcgroup.net/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000HVH0,11150,Đang giao dịch
HVN,HOSE,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines JSC,https://vietnamairlines.com,https://vietnamairlines.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000HVN8,21900,Đang giao dịch
ICT,HOSE,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Joint Stock Company For Telecoms And Informatics,https://ctin.vn,https://ctin.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000ICT3,17000,Đang giao dịch
IDI,HOSE,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,I.D.I International Development and Investment Corporation,https://idiseafood.com,https://idiseafood.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000IDI4,4850,Đang giao dịch
IJC,HOSE,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Becamex Infrastructure Development Joint Stock Company,https://becamexijc.com,https://becamexijc.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000IJC4,7130,Đang giao dịch
ILB,HOSE,Công ty Cổ phần ICD Tân Cảng - Long Bình,ICD Tan Cang - Long Binh Joint Stock Company,https://icdlongbinh.com,https://icdlongbinh.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000ILB2,18900,Đang giao dịch
IMP,HOSE,Công ty Cổ phần Dược phẩm Imexpharm,Imexpharm Corporation,http://imexpharm.com,http://imexpharm.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000IMP0,38800,Đang giao dịch
ITC,HOSE,Công ty Cổ phần Đầu tư - Kinh doanh Nhà,Investment and Trading of Real Estate Joint Stock Company,http://intresco.com.vn,http://intresco.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000ITC3,9100,Đang giao dịch
ITD,HOSE,Công ty Cổ phần Công Nghệ ITD,ITD Technology Corporation,https://itd.com.vn,https://itd.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000ITD1,11750,Đang giao dịch
JVC,HOSE,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN Y TẾ VIỆT NHẬT,JAPAN VIETNAM MEDICAL INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,https://vmpi.vn,https://vmpi.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000JVC7,2910,Đang giao dịch
KBC,HOSE,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần,Kinh Bac City Development Holding Corporation,https://kinhbaccity.vn,https://kinhbaccity.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000KBC7,26950,Đang giao dịch
KDC,HOSE,Công ty Cổ phần Tập đoàn Kido,KIDO Group Corporation,https://kido.vn,https://kido.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000KDC3,51500,Đang giao dịch
KDH,HOSE,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,Khang Dien House Trading and Investment Joint Stock Company,https://khangdien.com.vn,https://khangdien.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000KDH2,17000,Đang giao dịch
KHG,HOSE,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Khai Hoan Land Group Joint Stock Company,https://khaihoanland.vn,https://khaihoanland.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000KHG5,4820,Đang giao dịch
KHP,HOSE,Công ty Cổ phần Điện lực Khánh Hòa,Khanh Hoa Power Joint Stock Company,https://pckhanhhoa.cpc.vn,https://pckhanhhoa.cpc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000KHP6,9620,Đang giao dịch
KLB,HOSE,Ngân hàng Thương mại Cổ phần Kiên Long,Kien Long Commercial Joint Stock Bank,https://kienlongbank.com,https://kienlongbank.com/quan-he-co-dong,Tài chính,Ngân hàng,VN000000KLB8,12150,Đang giao dịch
KMR,HOSE,Công ty Cổ phần MIRAE,Mirae Joint Stock Company,http://miraejsc.com,http://miraejsc.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KMR2,2280,Đang giao dịch
KOS,HOSE,Công ty Cổ phần KOSY,Kosy Joint Stock Company,https://kosy.vn,https://kosy.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KOS6,33650,Đang giao dịch
KSB,HOSE,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Binh Duong Mineral and Construction Joint Stock Company,https://ksb.vn,https://ksb.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000KSB3,13150,Đang giao dịch
L10,HOSE,Công ty Cổ phần Lilama 10,Lilama 10 Joint Stock Company,https://lilama10.com,https://lilama10.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000L102,23000,Đang giao dịch
LAF,HOSE,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,Long An Food Processing Export Joint Stock Company,https://lafooco.vn,https://lafooco.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000LAF0,19600,Đang giao dịch
LBM,HOSE,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Lam Dong Minerals and Building Materials Joint Stock Company,http://lbm-vn.vn,http://lbm-vn.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000LBM4,28150,Đang giao dịch
LCG,HOSE,Công ty Cổ phần Lizen,Lizen Joint Stock Company,https://lizen.vn,https://lizen.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000LCG4,7060,Đang giao dịch
LDG,HOSE,Công ty Cổ phần Đầu tư LDG,LDG Investment Joint Stock Company,https://ldggroup.com.vn,https://ldggroup.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000LDG2,2630,Đang giao dịch
LGC,HOSE,Công ty Cổ phần Đầu tư Cầu Đường CII,CII Bridges and Roads Investment Joint Stock Company,http://ciibr.com.vn,http://ciibr.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000LGC4,64800,Đang giao dịch
LGL,HOSE,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Long Giang Investment and Urban Development Joint Stock Company,https://longgiangland.com.vn,https://longgiangland.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000LGL5,4690,Đang giao dịch
LHG,HOSE,Công ty Cổ phần Long Hậu,Long Hau Corporation,https://longhau.com.vn,https://longhau.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000LHG3,26600,Đang giao dịch
LIX,HOSE,Công ty Cổ phần Bột giặt LIX,Lix Detergent Joint Stock Company,https://lixco.com,https://lixco.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000LIX6,24850,Đang giao dịch
LM8,HOSE,Công ty Cổ phần Lilama 18,Lilama 18 Joint Stock Company,https://lilama18.com.vn,https://lilama18.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000LM88,14800,Đang giao dịch
LPB,HOSE,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Fortune Vietnam Joint Stock Commercial Bank,https://lpbank.com.vn,https://lpbank.com.vn/nha-dau-tuMBBNg,Tài chính,Ngân hàng,VN000000LPB7,48150,Đang giao dịch
LPS,HOSE,CÔNG TY CỔ PHẦN CHỨNG KHOÁN LPS,LPS SECURITIES JOINT STOCK COMPANY,https://lpbs.com.vn,https://lpbs.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000LPS1,23150,Đang giao dịch
LSS,HOSE,Công ty Cổ phần Mía đường Lam Sơn,Lam Son Sugar Cane Joint Stock Corporation,https://lasuco.vn,https://lasuco.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000LSS5,7990,Đang giao dịch
MBB,HOSE,Ngân hàng Thương mại Cổ phần Quân Đội,Military Commercial Joint Stock Bank,https://mbbank.com.vn,https://mbbank.com.vn/quan-he-nha-dau-tuMSBNg,Tài chính,Ngân hàng,VN000000MBB5,20200,Đang giao dịch
MCH,HOSE,Công ty cổ phần Hàng tiêu dùng Masan,Masan Consumer Corporation,https://masanconsumer.com,https://masanconsumer.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000MCH0,142000,Đang giao dịch
MCM,HOSE,Công ty Cổ phần Giống bò sữa Mộc Châu,MocChau Dairy Cattle Breeding Joint Stock Company,https://mcmilk.com.vn,https://mcmilk.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000MCM0,26700,Đang giao dịch
MCP,HOSE,Công ty Cổ phần In và Bao bì Mỹ Châu,My Chau Printing and Packaging Corporation,http://mychau.com.vn,http://mychau.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000MCP3,28200,Đang giao dịch
MDG,HOSE,Công ty Cổ phần Miền Đông,Mien Dong Joint Stock Company,http://miendong.com.vn,http://miendong.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000MDG0,36000,Đang giao dịch
MHC,HOSE,Công ty Cổ phần MHC,MHC Joint Stock Company,https://mhc.vn,https://mhc.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000MHC0,7840,Đang giao dịch
