Mã CK,Tên Doanh Nghiệp,Tên thương hiệu / Viết tắt,Sàn giao dịch,Ngành ICB Cấp 1 (Industry),Ngành ICB Cấp 2 (Supersector),Ngành ICB Cấp 3 (Sector),Ngành ICB Cấp 4 (Subsector),Mã Phân Ngành (ICB Code L4),Nguồn tham khảo (Source),Trang chủ (Website),Cổng thông tin IR (Quan hệ CĐ)
VTB,Công ty Cổ phần Viettronics Tân Bình,Viettronics Tân Bình,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2733,FiinPro / Vietcap IQ & Sở GDCK,http://vtb.com.vn,http://vtb.com.vn/quan-he-co-dong
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,VITACO,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2773,FiinPro / Vietcap IQ & Sở GDCK,https://vitaco.petrolimex.com.vn,https://vitaco.petrolimex.com.vn/quan-he-co-dong
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Bưu chính Viettel,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh,2771,FiinPro / Vietcap IQ & Sở GDCK,https://viettelpost.com.vn,https://viettelpost.com.vn/quan-he-co-dong
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Đầu tư Phát triển Máy Việt Nam,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,3353,FiinPro / Vietcap IQ & Sở GDCK,https://vimid.vn,https://vimid.vn/quan-he-co-dong
YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Khoáng sản CN Yên Bái,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,https://ybm.com.vn,https://ybm.com.vn/quan-he-co-dong
YEG,Công ty Cổ phần Tập đoàn Yeah1,Tập đoàn Yeah1,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Giải trí & Truyền thông,5553,FiinPro / Vietcap IQ & Sở GDCK,https://yeah1group.com,https://yeah1group.com/quan-he-co-dong
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Mĩ thuật và Truyền thông,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,http://adc.net.vn,http://adc.net.vn/quan-he-co-dong
ALT,Công ty Cổ phần Văn hóa Tân Bình,Văn hóa Tân Bình,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://alt.com.vn,https://alt.com.vn/quan-he-co-dong
AMC,Công ty Cổ phần Khoáng sản Á Châu,Khoáng sản Á Châu,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,http://amcvina.vn,http://amcvina.vn/quan-he-co-dong
AME,Công ty cổ phần Alphanam E&C,Cơ điện Alphanam,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,http://alphanamec.com.vn,http://alphanamec.com.vn/quan-he-co-dong
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược-TB Y tế Việt Mỹ,HNX,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế,4535,FiinPro / Vietcap IQ & Sở GDCK,https://amvpharma.vn,https://amvpharma.vn/quan-he-co-dong
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Đầu tư Châu Á - Thái Bình Dương,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://apec.com.vn,https://apec.com.vn/chung-khoan-apsBABNg
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK Châu Á - TBD,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://apec.com.vn,https://apec.com.vn/quan-he-co-dong
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,XNK Hàng không,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Nhà cung cấp thiết bị,2797,FiinPro / Vietcap IQ & Sở GDCK,https://airimex.vn,https://airimex.vn/quan-he-co-dong
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Tập đoàn Đầu tư ATS,HNX,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Nhà hàng và quán bar,5757,FiinPro / Vietcap IQ & Sở GDCK,https://atsinvest.com.vn,https://atsinvest.com.vn/quan-he-co-dong
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng Bắc Á,HNX,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://bac-abank.vn,https://bac-abank.vn/quan-he-co-dong
BAX,Công ty Cổ phần Thống Nhất,Công ty Thống Nhất,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://bauxeo.com.vn,http://bauxeo.com.vn/quan-he-co-dong
BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Bao bì Xi măng Bút Sơn,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://butsonpackaging.vn,https://butsonpackaging.vn/quan-he-co-dong
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Xi măng Bỉm Sơn,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://ximangbimson.com.vn,http://ximangbimson.com.vn/quan-he-co-dong
BCF,Công ty Cổ phần Thực phẩm Bích Chi,Thực phẩm Bích Chi,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://bichchi.com.vn,http://bichchi.com.vn/quan-he-co-dong
BCH,Công ty Cổ phần Tập đoàn Dược Bảo Châu,Dược Bảo Châu,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/BCH/ho-so-doanh-nghiep.htm
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Sách Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://danangbook.com,https://danangbook.com/quan-he-co-dong
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,https://backanmineral.com.vn,https://backanmineral.com.vn/co-dong
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Tập đoàn Đầu tư Bảo Ngọc,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://baongoc.vn,https://baongoc.vn/quan-he-co-dong
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Bao bì Bỉm Sơn,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://baobibimson.vn,https://baobibimson.vn/co-dong
BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xi măng Bút Sơn,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://vicembutson.com.vn,https://vicembutson.com.vn/quan-he-co-dong
BTW,Công ty Cổ phần Cấp nước Bến Thành,Cấp nước Bến Thành,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://capnuocbenthanh.com,http://capnuocbenthanh.com/quan-he-co-dong
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,Chứng khoán Bảo Việt,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://bvsc.com.vn,https://bvsc.com.vn/quan-he-co-dong
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Bao bì Xi măng HP,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://hpvc.com.vn,https://hpvc.com.vn/quan-he-co-dong
C69,Công ty Cổ phần Xây dựng 1369,Xây dựng 1369,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://c69.vn,https://c69.vn/quan-he-co-dong
CAG,Công ty Cổ phần Cảng An Giang,Cảng An Giang,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://angiangport.com.vn,https://angiangport.com.vn/quan-he-co-dong
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Đồ hộp Hạ Long,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://halongcanfoco.com,https://halongcanfoco.com/quan-he-co-dong
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nông sản Yên Bái,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,1737,FiinPro / Vietcap IQ & Sở GDCK,http://yfatuf.com.vn,http://yfatuf.com.vn/quan-he-co-dong
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tập đoàn Giáo dục Trí Việt,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm,2793,FiinPro / Vietcap IQ & Sở GDCK,https://trivietgroup.edu.vn,https://trivietgroup.edu.vn/quan-he-co-dong
CCR,Công ty Cổ phần Cảng Cam Ranh,Cảng Cam Ranh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://camranhport.vn,https://camranhport.vn/quan-he-co-dong
CDN,Công ty Cổ phần Cảng Đà Nẵng,Cảng Đà Nẵng,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://danangport.com,https://danangport.com/quan-he-co-dong
CEO,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://ceogroup.com.vn,https://ceogroup.com.vn/quan-he-co-dong
CET,Công ty Cổ phần HTC Holding,HTC Holding,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,3767,FiinPro / Vietcap IQ & Sở GDCK,https://cetholding.vn,https://cetholding.vn/quan-he-co-dong
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,DV Sân Bay Cam Ranh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://cias.vn,https://cias.vn/quan-he-co-dong
CJC,Công ty Cổ phần Cơ điện Miền Trung,Cơ điện Miền Trung,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,http://cemc.com.vn,http://cemc.com.vn/quan-he-co-dong
CKV,Công ty Cổ phần CokyVina,CokyVina,HNX,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,9578,FiinPro / Vietcap IQ & Sở GDCK,http://cokyvina.com.vn,http://cokyvina.com.vn/quan-he-co-dong
CLH,Công ty Cổ phần Xi măng La Hiên VVMI,Xi măng La Hiên,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://ximanglahien.com.vn,http://ximanglahien.com.vn/quan-he-co-dong
CLM,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Xuất nhập khẩu Than - Vinacomin,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,1771,FiinPro / Vietcap IQ & Sở GDCK,https://clm.vn,https://clm.vn/quan-he-co-dong
CMC,Công ty Cổ phần Đầu tư CMC,Đầu tư CMC,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,http://cmci.com.vn,http://cmci.com.vn/quan-he-co-dong
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Tập đoàn CMH Việt Nam,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cmhgroup.vn,https://cmhgroup.vn/quan-he-co-dong
CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Thuốc sát trùng Cần Thơ,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,http://tstcantho.com.vn,http://tstcantho.com.vn/quan-he-co-dong
CSC,Công ty Cổ phần Tập đoàn COTANA,Tập đoàn COTANA,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cotanagroup.vn,https://cotanagroup.vn/quan-he-co-dong
CST,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,1771,FiinPro / Vietcap IQ & Sở GDCK,https://caosoncoal.vn,https://caosoncoal.vn/quan-he-co-dong
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,Bơm Hải Dương,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,https://pmh.com.vn,https://pmh.com.vn/co-dong
CTP,Công ty Cổ phần Tập đoàn CTP Group,CTP Group,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,3537,FiinPro / Vietcap IQ & Sở GDCK,https://ctpgroupvietnam.com,https://ctpgroupvietnam.com/quan-he-co-dong
CTT,Công ty Cổ phần Chế tạo máy - Vinacomin,Chế tạo máy - Vinacomin,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,https://chetaomay.com.vn,https://chetaomay.com.vn/quan-he-co-dong
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Constrexim số 8,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://constrexim8.com.vn,http://constrexim8.com.vn/quan-he-co-dong
D11,Công ty Cổ phần Địa ốc 11,Địa ốc 11,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://diaoc11.com.vn,https://diaoc11.com.vn/quan-he-co-dong
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Phát triển GD Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,http://iseebooks.vn,http://iseebooks.vn/quan-he-co-dong
DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Sách Giáo dục Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://sachgiaoduc.com,https://sachgiaoduc.com/quan-he-co-dong
DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,DIC Số 2,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://dic2.vn,https://dic2.vn/quan-he-co-dong
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Điện cơ Hải Phòng,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,https://dhp.com.vn,https://dhp.com.vn/quan-he-co-dong
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Dược phẩm Hà Tây,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://hataphar.com.vn,https://hataphar.com.vn/quan-he-co-dong
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,PT Xây dựng Hội An,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://dichoian.vn,https://dichoian.vn/quan-he-co-dong
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Tập đoàn Alpha 7,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://a7group.vn,https://a7group.vn/quan-he-co-dong
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Điện nước Hải Phòng,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://diennuochp.com.vn,https://diennuochp.com.vn/quan-he-co-dong
DNP,Công ty Cổ phần DNP Holding,DNP Holding,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://dnpcorp.vn,https://dnpcorp.vn/quan-he-co-dong
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược Phẩm TW3,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://duocphamtw3.com,https://duocphamtw3.com/quan-he-co-dong
DS3,Công ty Cổ phần DS3,Quản lý Đường sông số 3,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://ds3.vn,https://ds3.vn/quan-he-co-dong
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,Đầu tư Sao Thăng Long,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://saothanglong.vn,https://saothanglong.vn/quan-he-co-dong
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Đầu tư Phát triển Thành Đạt,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://thanhdatcorp.com.vn,https://thanhdatcorp.com.vn/quan-he-co-dong
DTG,Công ty Cổ phần Dược phẩm Tipharco,Dược phẩm Tipharco,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://tipharco.vn,https://tipharco.vn/quan-he-co-dong
DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần,Vinacomin Power,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,http://dienluctkv.vn,http://dienluctkv.vn/quan-he-co-dong
DVM,Công ty Cổ phần Dược liệu Việt Nam,Dược liệu Việt Nam,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://duoclieuvietnam.com.vn,https://duoclieuvietnam.com.vn/quan-he-co-dong
DXP,Công ty Cổ phần Cảng Đoạn Xá,Cảng Đoạn Xá,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://doanxaport.com.vn,https://doanxaport.com.vn/quan-he-co-dong
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Sách Giáo dục Hà Nội,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,http://sachgiaoduchanoi.vn,http://sachgiaoduchanoi.vn/quan-he-co-dong
ECI,Công ty Cổ phần Tập đoàn ECI,Bản đồ và tranh ảnh GD,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://ecigroup.com.vn,https://ecigroup.com.vn/quan-he-co-dong
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Phát triển GD Hà Nội,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://heid.vn,https://heid.vn/quan-he-co-dong
EVS,Công ty Cổ phần Chứng khoán EVS,Chứng khoán EVS,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://eves.com.vn,https://eves.com.vn/quan-he-co-dong
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Đầu tư và PT doanh nghiệp VN,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://vndi.vn,http://vndi.vn/quan-he-co-dong
GDW,Công ty Cổ phần Cấp nước Gia Định,Cấp nước Gia Định,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capnuocgiadinh.vn,https://capnuocgiadinh.vn/quan-he-co-dong
GIC,Công ty Cổ phần VSC Green Logistics,ĐT Dịch vụ và PT Xanh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://greenicd.com.vn,https://greenicd.com.vn/quan-he-co-dong
GKM,Công ty Cổ phần GKM Holdings,GKM Holdings,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://khangminhgroup.com,https://khangminhgroup.com/quan-he-co-dong
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,KT Điện Toàn Cầu,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Điện tử tiêu dùng,3743,FiinPro / Vietcap IQ & Sở GDCK,https://glt.com.vn,https://glt.com.vn/quan-he-co-dong
GMA,Công ty Cổ phần G-Automobile,G-Automobile,HNX,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,3353,FiinPro / Vietcap IQ & Sở GDCK,https://g-automobile.vn,https://g-automobile.vn/quan-he-co-dong
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Gạch ngói Mỹ Xuân,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://myxuan-ceramic.com.vn,https://myxuan-ceramic.com.vn/quan-he-co-dong
HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,Bia Hà Nội - Hải Dương,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,https://biaduong.com.vn,https://biaduong.com.vn/quan-he-co-dong
HAT,Công ty Cổ phần Thương mại Bia Hà Nội,TM Bia Hà Nội,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://biahoihanoi.com.vn,http://biahoihanoi.com.vn/quan-he-co-dong
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Chứng khoán Hòa Bình,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://hbse.com.vn,https://hbse.com.vn/quan-he-co-dong
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Bê tông Hòa Cầm,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://betonghoacam.com.vn,http://betonghoacam.com.vn/quan-he-co-dong
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,TM - DV - Vận tải Xi măng Hải Phòng,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,2779,FiinPro / Vietcap IQ & Sở GDCK,https://vtxmhp.com,https://vtxmhp.com/quan-he-co-dong
HDA,Công ty Cổ phần Hãng sơn Đông Á,Hãng sơn Đông Á,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://dongapaints.com.vn,https://dongapaints.com.vn/quan-he-co-dong
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,Sách Đại học - Dạy nghề,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,https://hevobooks.com,https://hevobooks.com/quan-he-co-dong
